timestamp,accel_x,accel_y,accel_z
5081,12.66,11.78,13.33
5104,2.72,-7.73,7.97
5128,-12.40,-12.12,13.42
5151,-6.28,7.27,9.43
5175,10.69,14.05,11.79
5198,8.64,-1.41,8.98
5222,-7.16,-12.73,11.07
5245,-11.27,-0.29,10.28
5269,3.67,13.52,9.89
5292,12.06,5.41,11.76
5316,-0.53,-10.05,8.38
5339,-13.28,-6.42,12.34
5363,-3.01,9.76,9.50
5386,12.64,11.12,13.32
5410,5.86,-4.82,8.09
5433,-12.73,-11.48,13.48
5457,-8.85,4.00,9.47
5481,11.27,13.97,12.09
5505,7.92,-2.32,8.67
5528,-8.37,-13.02,11.48
5552,-10.42,0.97,9.96
5575,4.87,14.33,9.98
5599,11.74,4.35,11.52
5622,-1.25,-10.45,8.46
5646,-13.08,-5.86,12.22
5669,-3.12,9.65,9.50
5693,12.48,11.46,13.32
5716,6.45,-4.09,8.24
5740,-12.44,-11.97,13.43
5763,-9.26,3.12,9.58
5787,10.74,14.54,11.76
5810,10.93,2.62,10.70
5834,-7.01,-12.60,10.79
5857,-12.76,-5.30,11.95
5881,2.85,13.18,9.78
5904,12.70,10.33,13.34
5928,0.39,-9.18,7.98
5951,-13.21,-10.85,13.55
5975,-4.15,8.83,9.41
5998,11.87,13.77,12.50
6022,6.90,-3.46,8.32
6045,-9.51,-13.05,12.00
6069,-9.69,2.21,9.78
6092,6.64,14.22,10.21
6116,11.15,3.18,10.83
6139,-2.60,-10.73,8.75
6163,-12.88,-5.39,12.10
6187,-2.87,9.89,9.47
6210,12.39,11.27,13.46
6234,2.68,-7.50,7.76
6257,-23.92,-24.78,26.65
6280,-9.99,1.75,9.86
6304,8.78,14.37,10.94
6328,10.05,0.92,10.17
6351,-3.98,-11.52,9.35
6375,-12.41,-3.90,11.56
6398,-0.75,11.12,9.55
6422,12.51,9.69,13.33
6445,4.32,-5.90,7.76
6469,-12.97,-10.92,13.58
6492,-8.08,4.44,9.48
6516,11.39,13.77,12.19
6539,10.48,2.00,10.46
6563,-8.24,-12.80,11.16
6587,-12.46,-3.87,11.64
6610,4.17,13.23,9.85
6634,12.53,9.86,13.37
6657,0.03,-9.21,7.84
6681,-12.75,-11.15,13.59
6704,-5.02,7.56,9.44
6728,10.74,14.08,11.79
6751,8.66,-0.83,9.27
6775,-5.85,-12.29,10.17
6798,-11.76,-2.43,11.13
6822,-0.04,11.45,9.63
6845,12.34,9.31,13.28
6869,4.25,-5.84,7.69
6892,-12.62,-11.05,13.56
6916,-8.76,3.39,9.64
6939,9.60,13.73,11.35
6963,11.37,5.16,11.95
6986,-2.63,-10.83,8.97
7010,-12.39,-6.07,12.40
7033,-4.75,8.25,9.49
7057,11.71,12.62,13.04
7080,8.97,-0.33,9.56
7104,-8.80,-12.64,11.68
7128,-10.35,0.54,10.18
7151,2.46,12.22,9.89
7175,11.92,8.01,12.92
7198,3.98,-6.22,7.83
7222,-12.06,-11.25,13.46
7245,-9.10,2.33,9.76
