timestamp,accel_x,accel_y,accel_z
5023,0.41,0.27,10.92
5046,-1.21,-4.24,11.25
5070,3.09,0.11,11.72
5093,-2.86,-3.28,10.02
5117,1.09,-2.31,11.71
5140,-0.12,-0.19,10.83
5164,-2.27,-4.29,10.70
5188,3.03,0.24,11.59
5211,-2.23,-2.52,10.30
5235,1.43,-1.92,11.77
5258,1.41,0.70,11.08
5282,-2.09,-4.33,10.79
5306,2.91,0.30,11.59
5329,-2.32,-2.59,10.29
5353,1.54,-1.87,11.81
5376,1.39,0.70,11.06
5400,-2.05,-4.26,10.89
5423,3.07,-0.32,11.83
5447,-2.52,-2.85,10.19
5470,0.22,-3.15,11.56
5494,0.69,0.44,10.94
5517,-2.61,-3.96,10.41
5541,3.09,0.05,11.76
5564,-2.02,-2.22,10.40
5588,1.37,-2.03,11.76
5611,1.32,0.64,10.98
5635,-1.86,-4.36,10.93
5658,3.09,0.00,11.84
5682,-2.64,-2.88,10.11
5705,0.49,-3.04,11.60
5729,0.53,0.35,10.93
5752,-2.53,-3.96,10.43
5776,3.12,-0.03,11.70
5799,-1.95,-2.16,10.45
5823,1.07,-2.27,11.73
5846,1.72,0.77,11.11
5870,-2.21,-4.23,10.71
5893,3.00,-0.42,11.88
5917,-2.24,-2.65,10.30
5940,-0.19,-3.63,11.49
5964,1.26,0.70,11.03
5987,-2.80,-3.69,10.22
6011,3.15,-0.20,11.86
6034,-1.36,-1.54,10.64
6058,0.46,-2.93,11.63
6081,2.20,0.63,11.24
6105,-2.54,-4.05,10.52
6129,3.06,0.12,11.63
6152,-2.16,-2.48,10.33
6176,1.46,-1.97,11.81
6199,1.29,0.68,10.96
6223,-1.87,-4.35,10.90
6247,3.12,-0.19,11.84
6270,-2.66,-3.00,10.11
6294,0.57,-2.84,11.65
6317,0.39,0.22,10.89
6341,-2.49,-4.03,10.53
6364,3.05,0.06,11.69
6388,-2.03,-2.27,10.41
6411,1.16,-2.19,11.75
6435,-0.15,-0.23,10.86
6458,-2.15,-4.30,10.69
6482,2.98,0.19,11.55
6505,-2.34,-2.64,10.27
6529,1.62,-1.71,11.81
6552,1.13,0.62,10.97
6576,-1.87,-4.32,10.94
6600,2.72,0.44,11.43
6623,-2.66,-3.02,10.09
6647,2.09,-1.26,11.82
6670,0.58,0.44,10.93
6694,-1.49,-4.33,11.11
6717,3.11,-0.05,11.74
6741,-2.80,-3.12,10.05
6764,0.79,-2.71,11.68
6788,0.29,0.14,10.87
6811,-2.49,-4.04,10.53
6835,3.12,0.05,11.70
6858,-1.91,-2.17,10.45
6882,0.99,-2.46,11.69
6905,1.82,0.71,11.15
6929,-2.40,-4.10,10.58
6952,2.80,-0.64,11.87
6976,-2.01,-2.20,10.41
7000,0.99,-2.35,11.71
7023,1.76,0.74,11.15
7047,-2.35,-4.10,10.61
7070,2.80,-0.66,11.88
7094,-2.08,-2.32,10.39
7117,-0.67,-3.86,11.40
7141,1.69,0.72,11.14
7164,-2.96,-3.37,10.02
7188,2.83,-0.62,11.86
7211,-0.25,-0.33,10.85
7235,-0.70,-4.01,11.38
7258,3.05,0.22,11.60
7282,-2.93,-3.35,10.03
7306,1.16,-2.24,11.71
7329,0.09,-0.00,10.88
7353,-2.41,-4.17,10.54
7377,3.05,0.07,11.65
7400,-2.83,-3.20,9.98
7424,0.72,-2.73,11.62
7447,0.52,0.38,10.96
7471,-2.69,-3.87,10.37
7494,3.11,-0.19,11.75
7518,-1.22,-1.38,10.64
7541,0.16,-3.34,11.56
7565,2.65,0.37,11.42
7588,-2.87,-3.55,10.09
7612,1.77,-1.67,11.83
7635,-0.53,-0.62,10.80
7659,-2.10,-4.27,10.77
7682,2.99,0.14,11.59
7706,-2.05,-2.33,10.38
7729,0.95,-2.44,11.68
7753,2.05,0.69,11.20
7777,-2.66,-3.85,10.40
7800,3.15,-0.15,11.76
7824,-1.24,-1.34,10.68
7847,-0.03,-3.46,11.50
7871,2.76,0.36,11.51
7894,-2.92,-3.46,10.07
7918,1.49,-1.90,11.74
7941,-0.26,-0.35,10.88
7964,-2.95,-3.44,10.04
7987,2.75,-0.66,11.88
8011,-0.00,-0.09,10.89
8034,-1.07,-4.20,11.29
8058,3.13,-0.04,11.69
8081,-2.72,-3.07,10.05
8105,2.02,-1.36,11.81
8129,1.13,0.61,10.97
8152,-2.09,-4.27,10.82
8176,2.84,-0.57,11.83
8199,-1.88,-2.08,10.46
8223,-1.24,-4.27,11.27
8246,2.55,0.48,11.38
8270,-2.57,-2.82,10.18
8293,1.50,-1.93,11.76
8317,1.73,0.75,11.18
8340,-2.52,-4.00,10.50
8364,2.36,-1.12,11.82
8388,-1.03,-1.09,10.74
8411,-1.90,-4.33,10.92
8435,3.01,0.19,11.63
8458,-1.90,-2.11,10.47
8482,0.53,-3.00,11.61
8505,2.51,0.46,11.44
8529,-2.88,-3.47,10.05
8552,1.26,-2.25,11.70
8576,0.34,0.23,10.92
8599,-2.76,-3.78,10.26
8623,3.03,-0.38,11.84
8646,-0.49,-0.50,10.85
8670,-0.96,-4.13,11.35
8693,3.18,-0.09,11.73
8717,-2.64,-2.94,10.09
8740,-0.07,-3.54,11.51
8764,1.59,0.78,11.13
8787,-2.94,-3.35,10.02
8811,2.43,-1.01,11.82
8834,0.71,0.48,10.97
8858,-1.89,-4.35,10.94
8881,2.95,-0.43,11.84
8905,-2.07,-2.31,10.41
8929,0.76,-2.69,11.61
8952,2.32,0.52,11.30
8976,-2.75,-3.70,10.20
8999,1.87,-1.60,11.82
9023,-0.32,-0.36,10.87
9046,-2.35,-4.18,10.61
9070,3.17,-0.10,11.72
9093,-1.16,-1.45,10.67
9117,-0.18,-3.66,11.45
9140,3.00,0.20,11.58
9164,-2.82,-3.21,9.96
9187,0.38,-3.00,11.55
9211,1.30,0.63,11.05
9234,-2.95,-3.30,9.96
9258,2.31,-1.13,11.80
9281,1.17,0.65,10.99
9305,-2.29,-4.13,10.66
9329,2.42,-1.05,11.80
9352,-0.90,-0.98,10.78
9376,-2.22,-4.22,10.78
9399,3.09,-0.05,11.71
9423,-2.53,-2.83,10.18
9446,-0.71,-4.06,11.40
9470,2.36,0.53,11.39
9493,-2.42,-2.71,10.19
9517,1.06,-2.56,11.65
9540,2.47,0.49,11.44
9564,-2.89,-3.45,10.02
9587,0.95,-2.62,11.63
9611,0.86,0.62,11.02
9634,-2.94,-3.45,9.99
9658,2.48,-1.06,11.77
9681,0.86,0.64,10.97
9705,-2.23,-4.27,10.74
9729,3.11,-0.09,11.71
9752,-1.00,-1.07,10.73
9776,-0.64,-4.05,11.40
9799,3.08,0.06,11.73
9823,-2.62,-2.93,10.11
9846,-0.31,-3.69,11.44
9870,1.98,0.61,11.24
9893,-2.76,-3.07,10.02
9917,1.84,-1.60,11.76
9940,1.58,0.68,11.13
9963,-2.90,-3.25,9.96
9986,0.53,-2.97,11.58
10010,1.12,0.71,11.02
10033,-2.94,-3.42,10.00
10057,2.45,-0.99,11.81
10080,0.88,0.60,11.01
10104,-2.16,-4.25,10.79
10127,2.63,-0.88,11.83
10151,-1.21,-1.32,10.69
10174,-2.00,-4.30,10.91
10198,3.07,-0.08,11.65
10221,-1.50,-1.56,10.58
10245,-0.04,-3.58,11.46
10268,2.97,0.13,11.59
10292,-2.85,-3.15,10.02
10316,0.21,-3.24,11.55
10339,1.41,0.71,11.10
10363,-2.86,-3.32,9.97
10386,2.26,-1.16,11.78
10410,1.11,0.67,10.99
10433,-2.30,-4.11,10.70
10457,2.56,-1.01,11.82
10480,-1.03,-1.13,10.71
10504,-2.02,-4.31,10.85
10527,3.09,0.05,11.67
10551,-1.42,-1.50,10.62
10574,-0.17,-3.66,11.46
10598,3.01,0.15,11.63
10621,-2.78,-3.14,10.05
10645,0.12,-3.45,11.47
10668,1.65,0.71,11.12
10692,-2.86,-3.12,9.96
10715,2.01,-1.46,11.80
10739,1.40,0.72,11.09
10762,-2.50,-3.96,10.51
10786,2.10,-1.36,11.80
10809,-0.35,-0.32,10.85
10833,-2.53,-3.96,10.48
10856,3.07,-0.34,11.81
10880,-0.19,-0.20,10.84
10903,-1.53,-4.32,11.15
10927,3.00,-0.43,11.81
10950,-1.71,-1.98,10.52
10974,-1.67,-4.33,11.05
10997,3.03,0.13,11.66
11021,-1.47,-1.57,10.63
11044,-0.42,-3.88,11.46
11068,3.06,-0.02,11.70
11092,-2.48,-2.75,10.15
11115,-0.66,-4.05,11.39
11139,2.39,0.52,11.37
11162,-2.42,-2.70,10.24
11186,0.99,-2.47,11.67
11209,2.40,0.50,11.40
11233,-2.95,-3.51,10.01
11256,1.02,-2.43,11.66
11280,0.76,0.51,10.96
11304,-2.14,-4.25,10.76
11327,2.54,-0.93,11.82
11351,-1.01,-1.07,10.72
11374,-2.20,-4.20,10.80
11398,3.14,-0.08,11.72
11421,-2.46,-2.75,10.19
11445,-0.59,-4.01,11.37
11468,2.31,0.65,11.40
11492,-2.52,-2.76,10.18
11515,1.12,-2.34,11.66
11539,2.27,0.50,11.37
11562,-2.87,-3.49,10.08
11586,1.13,-2.41,11.68
11609,0.66,0.47,10.92
11633,-2.91,-3.46,10.06
11656,2.66,-0.80,11.79
11680,0.60,0.47,10.96
11703,-2.09,-4.23,10.81
11727,2.63,-0.81,11.81
11750,-1.17,-1.28,10.69
11774,-2.13,-4.20,10.83
11797,3.11,-0.07,11.75
11821,-1.09,-1.07,10.69
11844,-0.67,-4.13,11.42
11868,3.12,-0.17,11.75
11891,-2.40,-2.64,10.27
11915,-0.83,-4.13,11.38
11938,2.60,0.41,11.42
11962,-2.31,-2.49,10.29
11986,0.63,-2.86,11.59
12009,2.66,0.39,11.51
12033,-2.88,-3.31,9.96
12056,0.50,-3.02,11.58
12080,1.44,0.73,11.08
12104,-2.60,-4.06,10.43
12127,1.95,-1.52,11.75
12151,-0.12,-0.09,10.91
12174,-2.70,-3.84,10.33
12198,2.94,-0.46,11.82
12221,0.12,0.18,10.92
12245,-1.78,-4.37,11.02
12268,2.84,-0.63,11.82
12292,-1.44,-1.51,10.60
12315,-1.83,-4.37,10.95
12339,3.08,-0.00,11.64
12362,-1.35,-1.36,10.66
12386,-0.40,-3.87,11.44
12409,3.08,0.03,11.65
12433,-2.53,-2.87,10.11
12456,-0.39,-3.89,11.41
